mean_height,sd,range_min,range_max,n
5.7,3.4,0,12.364,20
5,3.9,0,12.644,22
5.7,4.4,0,14.324,18
3.9,2.5,0,8.8,62
6,3.4,0,12.664,58
8.6,3.5,1.74,15.46,39
5.9,3.9,0,13.544,102
8.7,4.1,0.664,16.736,64
6.7,3.1,0.624,12.776,30
6.3,3.9,0,13.944,133
4.3,2.8,0,9.788,80
8.3,3.8,0.852,15.748,45
11.9,3.7,4.648,19.152,48
9.7,3.5,2.84,16.56,79
5.3,3.8,0,12.748,38
5.4,4.5,0,14.22,32
9.1,3.3,2.632,15.568,89
8.5,3.8,1.052,15.948,82
3.7,2.2,0,8.012,53
7.3,2.8,1.812,12.788,36
5.6,2.3,1.092,10.108,59
6.5,3.3,0.032,12.968,46
2.3,2.4,0,7.004,20
