metric,taxa,variables,estimate,p_value
Richness,Small mammals,continent,-0.2508592748930214,0.4887680950675902
Richness,Small mammals,season,0.2120182355916672,0.8662397319688785
Richness,Small mammals,forest_type_iucn,-0.16674218722277626,0.714401559432722
Richness,Bats,continent,-1.2029462242309081,0.23438516381932034
Richness,Bats,season,-0.7554202118596589,0.3869682271555571
Richness,Bats,forest_type_iucn,1.232744406832748,0.11874879921006058
Richness,Birds,continent,-0.01597723191149165,0.03409933037892108
Richness,Birds,season,-0.8808951091706975,5.586606838952094e-4
Richness,Birds,forest_type_iucn,0.8740039164507365,0.009421224168839636
Richness,Amphibians,continent,0.04236496713499484,0.7979508461896218
Richness,Amphibians,season,-0.028227973404158013,0.7098408093859087
Richness,Amphibians,forest_type_iucn,-0.0409988965265719,0.9236761538608047
Abundance,Small mammals,continent,-0.2508592748930214,0.4887680950675902
Abundance,Small mammals,season,0.2120182355916672,0.8662397319688785
Abundance,Small mammals,forest_type_iucn,-0.16674218722277626,0.714401559432722
Abundance,Bats,continent,-1.2029462242309081,0.23438516381932034
Abundance,Bats,season,-0.7554202118596589,0.3869682271555571
Abundance,Bats,forest_type_iucn,1.232744406832748,0.11874879921006058
Abundance,Birds,continent,-0.01597723191149165,0.03409933037892108
Abundance,Birds,season,-0.8808951091706975,5.586606838952094e-4
Abundance,Birds,forest_type_iucn,0.8740039164507365,0.009421224168839636
Abundance,Amphibians,continent,0.04236496713499484,0.7979508461896218
Abundance,Amphibians,season,-0.028227973404158013,0.7098408093859087
Abundance,Amphibians,forest_type_iucn,-0.0409988965265719,0.9236761538608047
